id,name,image,affinity,skill,description,dlc
aow-0,Ash of War: Dryleaf Whirlwind,/items/ashes/aow-0.png,Standard,Dryleaf Whirlwind,"This Ash of War grants no affinity to an armament, but imparts the following skill:",1
aow-1,Ash of War: Aspects of the Crucible: Wings,/items/ashes/aow-1.png,Sacred,Aspects of the Crucible: Wings,This Ash of War grants an armament the Sacred affinity and the following skill:,1
aow-2,Ash of War: Spinning Gravity Thrust,/items/ashes/aow-2.png,Heavy,Spinning Gravity Thrust,This Ash of War grants an armament the Heavy affinity and the following skill:,1
aow-3,Ash of War: Palm Blast,/items/ashes/aow-3.png,Standard,Palm Blast,"This Ash of War grants no affinity to an armament, but imparts the following skill:",1
aow-4,Ash of War: Piercing Throw,/items/ashes/aow-4.png,Keen,Piercing Throw,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-5,Ash of War: Scattershot Throw,/items/ashes/aow-5.png,Keen,Scattershot Throw,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-6,Ash of War: Wall of Sparks,/items/ashes/aow-6.png,Standard,Wall of Sparks,"This Ash of War grants no affinity to an armament, but imparts the following skill:",1
aow-7,Ash of War: Rolling Sparks,/items/ashes/aow-7.png,Standard,Rolling Sparks,"This Ash of War grants no affinity to an armament, but imparts the following skill:",1
aow-8,Ash of War: Raging Beast,/items/ashes/aow-8.png,Keen,Raging Beast,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-9,Ash of War: Savage Claws,/items/ashes/aow-9.png,Keen,Savage Claws,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-10,Ash of War: Blind Spot,/items/ashes/aow-10.png,Keen,Blind Spot,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-11,Ash of War: Swift Slash,/items/ashes/aow-11.png,Keen,Swift Slash,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-12,Ash of War: Overhead Stance,/items/ashes/aow-12.png,Keen,Overhead Stance,This Ash of War grants an armament the Keen affinity and the following skill:,1
aow-13,Ash of War: Wing Stance,/items/ashes/aow-13.png,Quality,Wing Stance,This Ash of War grants an armament the Quality affinity and the following skill:,1
aow-14,Ash of War: Blinkbolt,/items/ashes/aow-14.png,Lightning,Blinkbolt,This Ash of War grants an armament the Lightning affinity and the following skill:,1
aow-15,Ash of War: Flame Skewer,/items/ashes/aow-15.png,Flame Art,Flame Skewer,This Ash of War grants an armament the Flame Art affinity and the following skill:,1
aow-16,Ash of War: Savage Lion's Claw,/items/ashes/aow-16.png,Heavy,Savage Lion's Claw,This Ash of War grants an armament the Heavy affinity and the following skill:,1
aow-17,Ash of War: Divine Beast Frost Stomp,/items/ashes/aow-17.png,Cold,Divine Beast Frost Stomp,"This Ash of War grants an armament the Cold affinity and the following skill: ""Divine Beast Frost Stomp: A skill which imitates the wrath of the divine beast's dance. Lift a leg up high and stamp it down with great force. Sends a powerful wave of frost straight out along the ground. Can be charged to increase power and range."" Usable on all melee armaments.",1
aow-18,Ash of War: Flame Spear,/items/ashes/aow-18.png,Flame Art,Flame Spear,This Ash of War grants an armament the Flame Art affinity and the following skill:,1
aow-19,Ash of War: Carian Sovereignty,/items/ashes/aow-19.png,Magic,Carian Sovereignty,This Ash of War grants an armament the Magic affinity and the following skill:,1
aow-20,Ash of War: Shriek of Sorrow,/items/ashes/aow-20.png,Occult,Shriek of Sorrow,This Ash of War grants an armament the Occult affinity and the following skill:,1
aow-21,Ash of War: Ghostflame Call,/items/ashes/aow-21.png,Cold,Ghostflame Call,This Ash of War grants an armament the Cold affinity and the following skill:,1
aow-22,Ash of War: The Poison Flower Blooms Twice,/items/ashes/aow-22.png,Poison,The Poison Flower Blooms Twice,This Ash of War grants an armament the Poison affinity and the following skill:,1
aow-23,Ash of War: Igon's Drake Hunt,/items/ashes/aow-23.png,Standard,Igon's Drake Hunt,"This Ash of War grants no affinity to an armament, but imparts the following skill:",1
aow-24,Ash of War: Shield Strike,/items/ashes/aow-24.png,Standard,Shield Strike,"This Ash of War grants no affinity to an armament, but imparts the following skill:",1
aow-25,Ash of War: Storm Stomp,/items/ashes/aow-25.png,Quality,Storm Stomp,"This Ash of War grants an armament the Quality affinity and the following skill: ""Storm Stomp: One of the skills that channel the tempests of Stormveil. Stomp hard on the ground to kick up a momentary storm."" Usable on all melee armaments.",0
aow-26,Ash of War: Repeating Thrust,/items/ashes/aow-26.png,Keen,Repeating Thrust,"This Ash of War grants an armament the Keen affinity and the following skill: ""Repeating Thrust: Twist to build power, then unleash a flurry of thrusts."" Usable on armaments capable of thrusting (colossal weapons excepted).",0
aow-27,Ash of War: Gravitas,/items/ashes/aow-27.png,Magic,Gravitas,"This Ash of War grants an armament the Magic affinity and the following skill: ""Gravitas: Skill originating from the Alabaster Lords, who had skin of stone. Thrust the armament into the ground to create a gravity well. In addition to dealing damage, this attack pulls enemies in."" Usable on melee armaments (small armaments and whips excepted).",0
aow-28,Ash of War: Stamp (Sweep),/items/ashes/aow-28.png,Heavy,Stamp (Sweep),"This Ash of War grants an armament the Heavy affinity and the following skill: ""Stamp (Sweep): Brace armament and step into a low stance that prevents recoil from most enemy attacks. Follow up with a strong attack for a sweeping strike."" Usable on swords, axes, and hammers (small and medium swords excepted).",0
aow-29,Ash of War: Unsheathe,/items/ashes/aow-29.png,Keen,Unsheathe,"This Ash of War grants an armament the Keen affinity and the following skill: ""Unsheathe: Skill of swordsmen from the Land of Reeds. Sheathe blade, holding it at the hip in a composed stance. Follow up with a normal or strong attack to perform a swift slash attack."" Usable on katana.",0
aow-30,Ash of War: Mighty Shot,/items/ashes/aow-30.png,Standard,Mighty Shot,"This Ash of War grants no affinity to an armament, but imparts the following skill: ""Mighty Shot: Archery skill performed from an oblique stance. Ready the bow, then pull the bowstring to its limit to enhance the power of the shot, penetrating the enemy's guard."" Usable on light bows and longbows.",0
